data,1THB,1USD
,,
20210104,0,1238
20210105,0,1237
20210107,0,1222
20210108,0,1228
20210111,0,1237
20210112,0,1235
20210113,0,1236
20210114,0,1244
20210115,0,1247
20210118,0,1251
20210119,0,1245
20210120,0,1244
20210121,0,1247
20210122,0,1242
20210125,0,1247
20210126,0,1251
20210127,0,1251
20210128,0,1251
20210129,0,1252
20210201,0,1245
20210202,0,1245
20210203,0,1243
20210204,0,1248
20210205,0,1248
20210208,0,1242
20210209,0,1235
20210210,0,1236
20210211,0,1243
20210212,0,1243
20210215,0,1236
20210216,0,1237
20210217,0,1244
20210218,0,1238
20210219,0,1233
20210222,0,1236
20210223,0,1236
20210224,0,1236
20210225,0,1226
20210226,0,1228
20210301,0,1243
20210302,0,1247
20210303,0,1238
20210304,0,1247
20210305,0,1259
20210308,0,1255
20210309,0,1251
20210310,0,1250
20210311,0,1253
20210312,0,1251
,,
kod ISO,THB,USD
nazwa waluty,bat (Tajlandia),dolar amerykañski
liczba jednostek,1,1
